store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
F3 SOUTH (WYONG STH),-33.254582,151.404958,high,sensitive,3948,35793.23852,26871.5607,3.616,0.0998,0.186503786,0.0749,-0.0731,0.007834201
FAIRFIELD II,-33.870053,150.956712,right,sensitive,1724,18366.74293,13541.72682,3.6137,0.0603,0.221397569,0.0484,-0.1319,-0.087582003
FAIRFIELDTERS,-19.309239,146.80633,right,sensitive,1735,17088.93753,12800.59083,3.6064,0.1224,0.2744384,0.0961,-0.1193,0.037865071
FAIRYMEADOW II,-34.402943,150.891904,high,sensitive,2857,26540.80101,19777.8924,3.4689,0,0.137508687,-0.0193,-0.1209,-0.068396834
FALCON,-32.586071,115.658302,right,sensitive,1212,13095.39424,9749.608088,3.7142,0.0876,0.186063425,0.063,-0.083,-0.024481605
FAWKNER II,-37.691204,144.957069,insufficient,sensitive,1748,15634.71526,11878.09992,3.8137,0.0295,0.103410316,0.0206,-0.067,0.033692966
FELIXSTOW,-34.891964,138.652588,right,not sensitive,1418,13872.36245,10259.55584,3.4793,0.0033,0.193848987,-0.0227,-0.1596,-0.08627283
FERNTREE GULLY,-37.880778,145.265827,right,sensitive,1779,15410.11017,11409.72376,3.6042,-0.058,0.019346916,-0.0799,-0.0759,-0.107446219
FIGTREE,-34.434515,150.862225,right,sensitive,1954,18538.36026,13853.4792,3.4395,0.0608,0.171738682,0.0418,-0.0947,-0.010365897
FIVE DOCK,-33.871649,151.113194,right,sensitive,2565,24591.67648,18354.40455,3.7696,0.0427,0.169908989,0.018,-0.1088,-0.044265488
FLEMINGTON,-37.789816,144.931243,low,not sensitive,1280,11201.71454,8377.22388,3.6436,0.0234,0.145559709,0.0019,-0.1067,-0.00378922
FOOTSCRAY,-37.792822,144.889178,right,not sensitive,1561,14611.88257,10777.45008,3.4982,0.1157,0.191112261,0.0998,-0.0633,0.014205929
FORBES,-33.383115,148.011508,high,sensitive,1462,14308.80492,10693.49999,3.743,0.0749,0.111721709,0.0604,-0.0332,0.01822665
FOREST HILL,-37.836603,145.163586,right,sensitive,410,4449.76288,3273.913572,3.0961,-0.0257,-0.046017506,-0.028,0.0213,-0.08951471
FOREST LAKE,-27.624817,152.9683,high,sensitive,1821,17874.98738,13114.45971,3.3436,0.0574,0.150895588,0.0326,-0.0812,0.045016321
FOREST LAKES,-32.069738,115.952476,right,not sensitive,2234,23088.52802,17294.79194,3.7581,0.0843,0.200122016,0.0654,-0.0966,0.015150884
FORESTWAY,-33.751614,151.2233,right,sensitive,1033,9511.315404,7121.062372,3.4856,0.0176,0.101370793,-0.0058,-0.0761,-0.048613121
FORRESTFIELD,-31.988916,116.009013,high,sensitive,1565,16008.84012,11935.59717,3.8836,0.0526,0.136857047,0.0243,-0.0741,-0.016222095
FORSTER,-32.194393,152.513582,high,sensitive,2689,25814.19192,19283.7243,3.4648,0.0669,0.128875695,0.0565,-0.0549,0.042425682
FOUNTAIN GATE FOODCOURT,-38.018945,145.300455,right,not sensitive,797,9001.453008,6496.25958,3.273,-0.1021,-0.096773054,-0.1176,-0.0059,-0.157633748
FOUNTAIN GATE,-38.020492,145.298843,right,sensitive,2571,23903.06946,17779.17123,3.8024,0.0315,0.092939823,0.0124,-0.0562,-0.015006345
FRANKSTON BAYSIDE,-38.142937,145.123515,low,sensitive,499,5367.287064,3911.182364,3.1256,-0.127,-0.037208917,-0.1518,-0.0933,-0.26553719
FRANKSTON II,-38.144326,145.119718,right,not sensitive,2160,19203.27605,14166.75558,3.4139,0.0317,0.093186805,0.0154,-0.0563,-0.034763517
FRANKSTON NORTH,-38.114165,145.156385,insufficient,not sensitive,2527,21674.63598,15941.60184,3.5133,-0.1528,-0.063925898,-0.1656,-0.095,-0.1870929
FRESHWATER PLACE,-37.822617,144.960549,high,sensitive,861,8088.98242,5942.994836,3.3161,0.2312,0.254390024,0.2153,-0.0185,0.179888957
FREWVILLE,-34.947334,138.63052,right,sensitive,1285,12591.50476,9259.25528,3.4034,-0.0278,0.082800785,-0.0478,-0.1021,-0.145036528
FULHAM GARDENS,-34.914173,138.512161,high,sensitive,1595,15617.52041,11553.65157,3.5814,0.0103,0.16598078,-0.0173,-0.1335,-0.08591577
FYSHWICK ACT,-35.325103,149.171398,right,sensitive,852,9251.153036,6895.74636,3.6653,-0.0157,0.031762161,-0.0277,-0.046,-0.068247963
GARDEN CITY,-27.56273,153.082338,high,sensitive,564,6775.126728,5059.862924,2.8619,0.0762,0.252639205,0.0544,-0.1409,-0.111715937
GATTON CENTRAL,-27.558964,152.278161,right,not sensitive,1198,12958.68467,9639.609092,3.4861,-0.0586,0.058814675,-0.0859,-0.1109,-0.117552565
GATTON,-27.54431,152.345036,high,insufficient,1412,13830.72268,10351.28466,3.676,-0.0222,0.061825842,-0.0514,-0.0791,-0.093510324
GAWLER,-34.608303,138.743019,right,sensitive,2079,20711.11235,15207.53716,3.5883,-0.0158,0.114357987,-0.0467,-0.1168,-0.072827311
GEELONG BYPASS NORTHBOUND,-38.066033,144.336495,right,insufficient,2583,22165.92775,16561.28928,3.689,0.2134,0.310431454,0.1907,-0.0741,0.13983392
GEELONG CENTRAL,-38.151646,144.36106,right,sensitive,2507,23051.00292,17165.33132,3.5006,-0.0143,0.063242119,-0.0318,-0.073,-0.050507935
GEELONG NORTH,-38.10325,144.352984,low,not sensitive,2490,22288.5013,16563.50336,3.6879,-0.0435,0.010721436,-0.0607,-0.0536,-0.081530117
GEELONG WEST,-38.143108,144.334811,low,not sensitive,1610,14099.95726,10393.88345,3.5188,-0.0264,0.045543288,-0.0411,-0.0688,-0.041669048
GEELONG(BELMONT),-38.170842,144.347881,low,not sensitive,1930,17048.70013,12545.06465,3.5546,0.0294,0.054244563,0.0107,-0.0236,0.018958069
GENERAL HOLMES DRIVE,-33.946148,151.183718,low,not sensitive,1800,16890.91449,12722.48167,3.7619,0.0425,0.146370651,0.0236,-0.0906,-0.118928833
GERALDTON HOMEMAKER CENTRE,-28.757422,114.625263,right,not sensitive,2017,21886.94496,16324.7264,3.9661,0.0344,0.088273256,0.0155,-0.0495,-0.042509928
GERALDTON,-28.774999,114.609999,right,not sensitive,1784,18838.40792,14099.79229,3.736,-0.0622,-0.003028523,-0.0794,-0.0594,-0.11055722
GILLES PLAINS,-34.858739,138.65417,right,not sensitive,1496,14733.2614,10865.7033,3.5697,0.0213,0.142628674,-0.0015,-0.1061,-0.046990638
GIRRAWHEEN,-31.835347,115.830596,right,sensitive,1312,14126.40047,10589.0623,3.7418,0.0199,0.17412955,-0.0025,-0.1314,-0.076592868
GISBORNE,-37.485879,144.587652,low,sensitive,1472,13233.33174,9917.759344,3.7416,0.086,0.122232798,0.0738,-0.0323,0.084905349
GLADESVILLE,-33.826329,151.124392,right,not sensitive,1801,16891.641,12593.40646,3.638,0.0834,0.200885142,0.0657,-0.0978,0.007507508
GLADSTONE CITY,-23.842959,151.25274,low,not sensitive,1579,16125.96706,12062.70293,3.6658,-0.1372,-0.021685424,-0.1586,-0.118,-0.200920978
GLADSTONE KIN KORA,-23.870474,151.239902,low,not sensitive,1681,17303.2017,12882.59178,3.6275,-0.3109,-0.214437128,-0.3285,-0.1228,-0.362153818
GLASS HOUSE MOUNTAINS,-26.917971,152.995926,high,sensitive,1782,16474.28896,12177.40114,3.4038,0.1364,0.250416256,0.1103,-0.0912,0.101194217
GLEN INNES,-29.737778,151.738254,right,sensitive,1224,11738.53421,8746.38952,3.5718,-0.0354,-0.00365537,-0.0569,-0.0319,-0.066525871
GLENVERLEY,-37.874976,145.167189,high,sensitive,1308,11741.19749,8659.527616,3.6546,0.0524,0.099851183,0.0346,-0.0432,0.048250945
GLENDALE,-32.931902,151.640015,low,sensitive,1702,16901.29665,12698.89364,3.6431,-0.0505,0.031349498,-0.0591,-0.0793,-0.072509836
GLENMORE PARK,-33.791793,150.667843,right,sensitive,1366,14154.9168,10661.48497,3.5905,0.0794,0.24060123,0.0628,-0.13,0.055802519
GLENMORE,-23.333978,150.518988,right,sensitive,1565,16266.07326,12127.44282,3.4795,0,0,0,0,0
GLENQUARIE,-33.986165,150.893308,right,sensitive,1643,17112.23619,12628.62647,3.4106,0.0601,0.257374817,0.0355,-0.1569,-0.085328084
GLENROWAN NORTH,-36.465833,146.221388,insufficient,insufficient,1912,17236.80634,13003.94788,3.9884,-0.0438,-0.079010866,-0.0511,0.0383,-0.074261768
GLENROWAN SOUTH,-36.465635,146.22453,high,not sensitive,2451,22194.18061,16678.42732,3.9582,0.0235,0.018995848,0.0083,0.0044,-0.069545023
